"Series Key",ELEC.GEN.DPV-GA-99.M
"Series Name","Net generation : small-scale solar photovoltaic : Georgia : all sectors : monthly"
Units,"thousand megawatthours"
Frequency,M
"Start Date",201401
"End Date",202107
Source,"EIA, U.S. Energy Information Administration"

202107,
202106,
202105,
202104,
202103,
202102,
202101,
202012,
202011,
202010,
202009,
202008,
202007,32.21077
202006,31.72363
202005,33.42007
202004,30.80904
202003,28.27294
202002,22.84991
202001,21.46095
201912,
201911,
201910,
201909,
201908,
201907,
201906,30.22552
201905,31.63823
201904,28.74448
201903,26.51959
201902,20.5454
201901,19.75105
201812,17.56115
201811,18.92131
201810,
201809,21.9356
201808,25.9672
201807,26.36169
201806,26.27171
201805,27.32958
201804,25.13352
201803,23.37574
201802,18.05838
201801,17.57235
201712,
201711,
201710,
201709,
201708,
201707,22.00335
201706,21.22856
201705,22.8696
201704,20.43731
201703,18.67233
201702,14.38016
201701,13.32973
201612,
201611,
201610,
201609,
201608,
201607,
201606,
201605,
201604,
201603,
201602,13.8744
201601,12.93644
201512,
201511,
201510,
201509,
201508,
201507,
201506,
201505,
201504,
201503,
201502,
201501,
201412,6.14018
201411,6.76315
201410,7.72402
201409,8.05028
201408,9.35383
201407,9.74869
201406,9.67824
201405,10.17159
201404,9.3766
201403,8.70972
201402,6.81839
201401,6.62759
